                                         STRUCTURE OUTFLOW DISCHARGE
  INFLOW AND OUTFLOW DISCHARGE MAY BE DIFFERENT IF STRUCTURE IS A LONG CULVERT OR IF OUTFLOW COMBINES MULTIPLE CULVERTS
                                   OUTFLOW DISCHARGE IS REPORTED AS NEGATIVE

     FLOODPLAIN GRID ELEMENTS     TIME (HRS)               DISCHARGE (CFS OR CMS)

 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        84.52  AT TIME:     4.60
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     5.30               6.45                     -6.45
                                     5.40               6.44                     -6.44
                                     5.50               6.46                     -6.46
                                     5.60               6.48                     -6.48
                                     5.70               6.39                     -6.39
                                     5.80               6.15                     -6.15
                                     5.90               5.93                     -5.93
                                     6.00               5.64                     -5.64
                                     6.10               5.31                     -5.31
                                     6.20               4.88                     -4.88
                                     6.30               4.68                     -4.68

 THE MAXIMUM DISCHARGE FOR: CULV_128        STRUCTURE NO.        9 IS:         0.36  AT TIME:     5.40
                                        INFLOW NODE:     13305 AND OUTFLOW NODE:     12775
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.00                      0.00
                                     4.00               0.03                     -0.03
                                     4.10               0.22                     -0.22
                                     4.20               0.33                     -0.33
                                     4.30               0.33                     -0.33
                                     4.40               0.27                     -0.27
                                     4.50               0.23                     -0.23
                                     4.60               0.15                     -0.15
                                     4.70               0.10                     -0.10
                                     4.80               0.06                     -0.06
                                     4.90               0.03                     -0.03
                                     5.00               0.04                     -0.04
                                     5.10               0.14                     -0.14
                                     5.20               0.29                     -0.29
                                     5.30               0.36                     -0.36
                                     5.40               0.36                     -0.36
                                     5.50               0.34                     -0.34
                                     5.60               0.27                     -0.27
                                     5.70               0.18                     -0.18
                                     5.80               0.12                     -0.12
                                     5.90               0.04                     -0.04
                                     6.00               0.00                      0.00
                                     6.10               0.00                      0.00
                                     6.20               0.00                      0.00
                                     6.30               0.00                      0.00

 THE MAXIMUM DISCHARGE FOR: CULV_129        STRUCTURE NO.       10 IS:         0.07  AT TIME:     4.40
                                        INFLOW NODE:     13485 AND OUTFLOW NODE:     12954
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                     -0.15
                                     3.80               0.00                     -0.38
                                     3.90               0.00                     -0.60
                                     4.00               0.00                     -0.93
                                     4.10               0.00                     -1.31
                                     4.20               0.00                     -1.72
                                     4.30               0.02                     -2.04
                                     4.40               0.07                     -2.13
                                     4.50               0.07                     -2.05
