  OUTFALL DISCHARGE TO FLO-2D

GRID ELEMENT:      34301        CHANNEL ELEMENT:         86
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          5.200            0.022
          5.300            0.020
          5.400            0.019
          5.500            0.018
          5.600            0.017
          5.700            0.017
          5.800            0.016
          5.900            0.016
          6.000            0.015
          6.100            0.010
          6.200            0.002
          6.300            0.002

GRID ELEMENT:      23826        CHANNEL ELEMENT:        137
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.000
          1.000            0.000
          1.100            0.000
          1.200            0.000
          1.300            0.002
          1.400            0.004
          1.500            0.005
          1.600            0.006
          1.700            0.009
          1.800            0.011
          1.900            0.014
          2.000            0.017
          2.100            0.020
          2.200            0.022
          2.300            0.025
          2.400            0.027
          2.500            0.029
          2.600            0.031
          2.700            0.033
          2.800            0.036
          2.900            0.041
          3.000            0.045
          3.100            0.059
          3.200            0.073
          3.300            0.096
          3.400            0.130
          3.500            0.163
          3.600            0.251
          3.700            0.338
          3.800            0.423
          3.900            0.502
          4.000            0.587
          4.100            1.200
          4.200            1.200
          4.300            1.200
          4.400            1.200
          4.500            1.200
          4.600            1.200
          4.700            1.200
          4.800            1.200
          4.900            1.200
          5.000            1.200
          5.100            1.200
          5.200            1.200
          5.300            1.200
          5.400            1.200
          5.500            1.200
          5.600            1.200
          5.700            1.200
          5.800            1.200
          5.900            1.200
          6.000            1.200
          6.100            1.200
          6.200            1.200
          6.300            1.200
