NODE,X-COORD,Y-COORD,FLOODWAVE_ARRIVAL_TIME,FLOODTIME,TIME_TO_PEAK,DEFLOOD_TIME,MAX_WSEL
196,657010.359,963015.000,0.00,0.00,0.99,0.00,1397.25
197,657010.359,962985.000,0.00,0.00,1.05,0.00,1397.25
198,657010.359,962955.000,0.00,0.00,0.00,0.00,0.00
199,657010.359,962925.000,0.00,0.00,0.00,0.00,0.00
200,657010.359,962895.000,0.00,0.00,0.00,0.00,0.00
201,657010.359,962865.000,0.00,0.00,0.00,0.00,0.00
202,657010.359,962835.000,0.00,0.00,0.00,0.00,0.00
203,657010.359,962805.000,0.00,0.00,0.00,0.00,0.00
204,657010.359,962775.000,0.00,0.00,0.00,0.00,0.00
205,657010.359,962745.000,0.00,0.00,0.00,0.00,0.00
206,657010.359,962715.000,0.00,0.00,0.00,0.00,0.00
207,657010.359,962685.000,0.00,0.00,0.00,0.00,0.00
208,657010.359,962655.000,0.00,0.00,0.00,0.00,0.00
209,657010.359,962625.000,0.00,0.00,0.00,0.00,0.00
210,657010.359,962595.000,0.00,0.00,0.00,0.00,0.00
211,657010.359,962565.000,0.00,0.00,0.00,0.00,0.00
212,657010.359,962535.000,0.00,0.00,0.00,0.00,0.00
213,657010.359,962505.000,0.00,0.00,0.00,0.00,0.00
214,657010.359,962475.000,0.00,0.00,0.00,0.00,0.00
215,657010.359,962445.000,0.00,0.00,0.00,0.00,0.00
216,657010.359,962415.000,0.00,0.00,0.00,0.00,0.00
217,657010.359,962385.000,0.00,0.00,0.00,0.00,0.00
218,657010.359,962355.000,0.00,0.00,0.00,0.00,0.00
219,657010.359,962325.000,0.00,0.00,0.00,0.00,0.00
220,657010.359,962295.000,0.00,0.00,0.00,0.00,0.00
221,657010.359,962265.000,0.00,0.00,0.00,0.00,0.00
222,657010.359,962235.000,0.00,0.00,0.00,0.00,0.00
223,657010.359,962205.000,0.00,0.00,0.00,0.00,0.00
224,657010.359,962175.000,0.00,0.00,0.00,0.00,0.00
225,657010.359,962145.000,0.00,0.00,0.00,0.00,0.00
226,657010.359,962115.000,0.00,0.00,0.00,0.00,0.00
227,657010.359,962085.000,0.00,0.00,0.00,0.00,0.00
228,657010.359,962055.000,0.00,0.00,0.00,0.00,0.00
229,657010.359,962025.000,0.00,0.00,0.00,0.00,0.00
230,657010.359,961995.000,0.00,0.00,0.00,0.00,0.00
231,657010.359,961965.000,0.00,0.00,0.00,0.00,0.00
232,657010.359,961935.000,0.00,0.00,0.00,0.00,0.00
233,657010.359,961905.000,0.00,0.00,0.00,0.00,0.00
234,657010.359,961875.000,0.00,0.00,0.00,0.00,0.00
235,657010.359,961845.000,0.00,0.00,0.00,0.00,0.00
236,657010.359,961815.000,0.00,0.00,0.00,0.00,0.00
237,657010.359,961785.000,0.00,0.00,0.00,0.00,0.00
238,657010.359,961755.000,0.00,0.00,0.00,0.00,0.00
239,657010.359,961725.000,0.00,0.00,0.00,0.00,0.00
240,657010.359,961695.000,0.00,0.00,0.00,0.00,0.00
241,657010.359,961665.000,0.00,0.00,0.00,0.00,0.00
242,657010.359,961635.000,0.00,0.00,0.00,0.00,0.00
243,657010.359,961605.000,0.00,0.00,0.00,0.00,0.00
244,657010.359,961575.000,0.00,0.00,0.00,0.00,0.00
245,657010.359,961545.000,0.00,0.00,0.00,0.00,0.00
246,657010.359,961515.000,0.00,0.00,0.00,0.00,0.00
247,657010.359,961485.000,0.00,0.00,0.00,0.00,0.00
248,657010.359,961455.000,0.00,0.00,0.00,0.00,0.00
249,657010.359,961425.000,0.00,0.00,0.00,0.00,0.00
250,657010.359,961395.000,0.00,0.00,0.00,0.00,0.00
251,657010.359,961365.000,0.00,0.00,0.00,0.00,0.00
252,657010.359,961335.000,0.00,0.00,0.00,0.00,0.00
253,657010.359,961305.000,0.00,0.00,0.00,0.00,0.00
254,657010.359,961275.000,0.00,0.00,0.00,0.00,0.00
255,657010.359,961245.000,0.00,0.00,0.00,0.00,0.00
256,657010.359,961215.000,0.00,0.00,0.00,0.00,0.00
257,657010.359,961185.000,0.00,0.00,0.00,0.00,0.00
258,657010.359,961155.000,0.00,0.00,0.00,0.00,0.00
259,657010.359,961125.000,0.00,0.00,0.00,0.00,0.00
260,657010.359,961095.000,0.00,0.00,1.14,0.00,1395.05
261,657010.359,961065.000,0.00,0.00,1.06,0.00,1395.21
262,657010.359,961035.000,0.00,0.00,0.00,0.00,0.00
263,657010.359,961005.000,0.00,0.00,0.00,0.00,0.00
264,657010.359,960975.000,0.00,0.00,0.00,0.00,0.00
265,657010.359,960945.000,0.00,0.00,0.00,0.00,0.00
266,657010.359,960915.000,0.00,0.00,0.00,0.00,0.00
267,657010.359,960885.000,0.00,0.00,0.00,0.00,0.00
268,657010.359,960855.000,0.00,0.00,0.00,0.00,0.00
269,657010.359,960825.000,0.00,0.00,0.00,0.00,0.00
270,657010.359,960795.000,0.00,0.00,0.00,0.00,0.00
271,657010.359,960765.000,0.00,0.00,0.00,0.00,0.00
272,657010.359,960735.000,0.00,0.00,1.06,0.00,1395.29
273,657010.359,960705.000,0.00,0.00,0.00,0.00,0.00
274,657010.359,960675.000,0.00,0.00,0.00,0.00,0.00
275,657010.359,960645.000,0.00,0.00,0.00,0.00,0.00
276,657010.359,960615.000,0.00,0.00,0.00,0.00,0.00
277,657010.359,960585.000,0.00,0.00,0.00,0.00,0.00
278,657010.359,960555.000,0.00,0.00,0.00,0.00,0.00
279,657010.359,960525.000,0.00,0.00,0.00,0.00,0.00
280,657010.359,960495.000,0.00,0.00,0.00,0.00,0.00
281,657010.359,960465.000,0.00,0.00,0.00,0.00,0.00
